product_id,product_name,department,category,brand,unit_price,unit_cost,weight_lbs,supplier_lead_days,reorder_point,is_active
PROD-00001,DigiMax Smartphones Basic 1,Electronics,Smartphones,TechVolt,613.68,259.38,12.5,28,97,0
PROD-00002,TechVolt Smartphones Pro 2,Electronics,Smartphones,PixelCore,571.98,259.8,6.5,23,53,0
PROD-00003,NovaPro Smartphones Lite 3,Electronics,Smartphones,NovaPro,229.26,131.07,7.4,3,18,1
PROD-00004,ByteWave Smartphones Max 4,Electronics,Smartphones,TechVolt,45.77,15.58,6.4,20,98,1
PROD-00005,DigiMax Smartphones Max 5,Electronics,Smartphones,PixelCore,638.65,356.47,21.4,7,27,1
PROD-00006,DigiMax Smartphones Plus 6,Electronics,Smartphones,DigiMax,227.05,120.21,17.2,29,84,1
PROD-00007,ByteWave Smartphones Basic 7,Electronics,Smartphones,NovaPro,874.14,442.34,14.5,29,49,1
PROD-00008,PixelCore Smartphones Plus 8,Electronics,Smartphones,TechVolt,555.79,267.91,21.9,18,97,1
PROD-00009,TechVolt Smartphones Lite 9,Electronics,Smartphones,TechVolt,954.26,490.56,10.1,29,70,1
PROD-00010,NovaPro Laptops Pro 10,Electronics,Laptops,ByteWave,1141.41,414.62,4.8,12,26,1
PROD-00011,PixelCore Laptops Pro 11,Electronics,Laptops,PixelCore,669.86,262.79,20.4,18,62,1
PROD-00012,DigiMax Laptops Plus 12,Electronics,Laptops,TechVolt,394.11,198.27,21.9,9,48,1
PROD-00013,PixelCore Laptops Ultra 13,Electronics,Laptops,ByteWave,1198.62,577.73,17.7,14,21,1
PROD-00014,TechVolt Laptops Pro 14,Electronics,Laptops,TechVolt,748.19,321.23,12.2,12,69,1
PROD-00015,TechVolt Laptops Pro 15,Electronics,Laptops,TechVolt,171.2,89.91,18.7,16,54,1
PROD-00016,ByteWave Laptops Max 16,Electronics,Laptops,DigiMax,604.72,339.13,16.7,11,44,1
PROD-00017,DigiMax Laptops Plus 17,Electronics,Laptops,DigiMax,764.27,410.57,8.4,13,12,1
PROD-00018,ByteWave Laptops Basic 18,Electronics,Laptops,NovaPro,756.14,275.85,11.2,27,50,1
PROD-00019,NovaPro Laptops Basic 19,Electronics,Laptops,NovaPro,1234.83,637.66,17.8,16,29,1
PROD-00020,DigiMax Tablets Basic 20,Electronics,Tablets,DigiMax,1360.0,649.68,1.9,11,83,0
PROD-00021,ByteWave Tablets Max 21,Electronics,Tablets,PixelCore,1068.73,334.76,1.6,25,33,1
PROD-00022,NovaPro Tablets Pro 22,Electronics,Tablets,TechVolt,836.93,497.49,4.0,14,31,0
PROD-00023,ByteWave Tablets Max 23,Electronics,Tablets,PixelCore,323.38,170.99,1.3,29,13,1
PROD-00024,DigiMax Tablets Basic 24,Electronics,Tablets,PixelCore,834.83,447.11,13.4,5,76,1
PROD-00025,PixelCore Tablets Pro 25,Electronics,Tablets,DigiMax,140.38,55.5,11.3,3,88,1
PROD-00026,DigiMax Tablets Pro 26,Electronics,Tablets,DigiMax,1347.03,699.4,16.1,30,59,1
PROD-00027,DigiMax Tablets Max 27,Electronics,Tablets,TechVolt,1332.82,553.03,20.3,3,23,1
PROD-00028,PixelCore Tablets Basic 28,Electronics,Tablets,TechVolt,710.44,221.24,13.5,16,82,1
PROD-00029,PixelCore Tablets Plus 29,Electronics,Tablets,PixelCore,881.32,400.69,0.2,23,48,1
PROD-00030,PixelCore Tablets Plus 30,Electronics,Tablets,PixelCore,944.9,523.09,12.2,27,71,0
PROD-00031,PixelCore Tablets Ultra 31,Electronics,Tablets,PixelCore,1231.36,732.72,16.6,7,41,0
PROD-00032,PixelCore Tablets Max 32,Electronics,Tablets,DigiMax,438.08,260.76,23.4,6,85,1
PROD-00033,PixelCore Tablets Ultra 33,Electronics,Tablets,NovaPro,781.9,314.04,15.4,23,35,1
PROD-00034,TechVolt Tablets Ultra 34,Electronics,Tablets,ByteWave,905.99,447.82,23.6,7,56,1
PROD-00035,DigiMax Headphones Basic 35,Electronics,Headphones,NovaPro,394.84,224.16,16.0,25,95,1
PROD-00036,ByteWave Headphones Pro 36,Electronics,Headphones,PixelCore,224.93,126.33,15.7,29,67,1
PROD-00037,TechVolt Headphones Pro 37,Electronics,Headphones,TechVolt,647.41,337.89,13.1,29,99,1
PROD-00038,NovaPro Headphones Pro 38,Electronics,Headphones,PixelCore,764.58,336.44,23.6,14,21,1
PROD-00039,NovaPro Headphones Lite 39,Electronics,Headphones,TechVolt,214.91,73.07,21.0,7,89,1
PROD-00040,ByteWave Headphones Max 40,Electronics,Headphones,NovaPro,377.21,204.55,5.1,18,36,1
PROD-00041,DigiMax Headphones Pro 41,Electronics,Headphones,NovaPro,484.64,192.47,2.6,11,45,0
PROD-00042,DigiMax Headphones Max 42,Electronics,Headphones,TechVolt,1482.7,858.14,6.2,14,85,1
PROD-00043,PixelCore Headphones Max 43,Electronics,Headphones,PixelCore,98.11,29.86,20.2,22,36,1
PROD-00044,NovaPro Headphones Lite 44,Electronics,Headphones,NovaPro,454.36,186.4,5.9,4,32,1
PROD-00045,DigiMax Headphones Plus 45,Electronics,Headphones,ByteWave,967.26,320.94,14.6,7,61,1
PROD-00046,NovaPro Headphones Lite 46,Electronics,Headphones,NovaPro,1449.0,682.3,13.1,10,72,1
PROD-00047,NovaPro Watches Max 47,Electronics,Smart Watches,ByteWave,812.62,355.95,21.1,23,82,1
PROD-00048,DigiMax Watches Ultra 48,Electronics,Smart Watches,ByteWave,794.03,305.33,19.6,19,55,1
PROD-00049,DigiMax Watches Plus 49,Electronics,Smart Watches,ByteWave,485.12,186.48,18.8,9,64,1
PROD-00050,DigiMax Watches Lite 50,Electronics,Smart Watches,ByteWave,1291.19,673.5,13.8,4,89,1
PROD-00051,ByteWave Watches Basic 51,Electronics,Smart Watches,TechVolt,359.46,196.58,2.9,5,82,1
PROD-00052,NovaPro Watches Max 52,Electronics,Smart Watches,PixelCore,828.96,420.24,11.5,20,88,1
PROD-00053,ByteWave Watches Ultra 53,Electronics,Smart Watches,TechVolt,130.73,69.21,20.2,19,76,1
PROD-00054,ByteWave Watches Plus 54,Electronics,Smart Watches,TechVolt,897.7,376.36,8.0,22,60,1
PROD-00055,TechVolt Watches Pro 55,Electronics,Smart Watches,NovaPro,1326.91,459.31,15.5,11,62,1
PROD-00056,PixelCore Watches Plus 56,Electronics,Smart Watches,PixelCore,894.84,385.4,17.3,26,42,1
PROD-00057,TechVolt Watches Ultra 57,Electronics,Smart Watches,ByteWave,1399.93,717.97,20.1,24,23,1
PROD-00058,PixelCore Watches Basic 58,Electronics,Smart Watches,PixelCore,640.17,329.58,1.7,21,27,1
PROD-00059,DigiMax Watches Plus 59,Electronics,Smart Watches,ByteWave,175.01,85.81,4.7,15,38,1
PROD-00060,TechVolt Watches Plus 60,Electronics,Smart Watches,TechVolt,1270.79,599.67,7.8,10,35,0
PROD-00061,PixelCore Watches Plus 61,Electronics,Smart Watches,DigiMax,1422.48,685.89,15.5,15,31,1
PROD-00062,NovaPro Cameras Max 62,Electronics,Cameras,PixelCore,461.37,204.9,18.5,25,85,1
PROD-00063,ByteWave Cameras Max 63,Electronics,Cameras,TechVolt,886.62,455.95,7.0,29,11,1
PROD-00064,DigiMax Cameras Ultra 64,Electronics,Cameras,TechVolt,1116.41,378.22,9.8,23,78,1
PROD-00065,NovaPro Cameras Plus 65,Electronics,Cameras,PixelCore,637.07,347.9,21.2,27,59,1
PROD-00066,ByteWave Cameras Lite 66,Electronics,Cameras,TechVolt,798.14,379.97,15.2,7,30,1
PROD-00067,PixelCore Cameras Max 67,Electronics,Cameras,ByteWave,1381.01,747.36,12.5,20,80,1
PROD-00068,PixelCore Cameras Max 68,Electronics,Cameras,ByteWave,1370.52,431.94,3.2,12,26,1
PROD-00069,HomeNest Cookware Max 69,Home & Kitchen,Cookware,KitchenPro,721.37,336.53,2.7,3,28,1
PROD-00070,CleanEdge Cookware Max 70,Home & Kitchen,Cookware,CleanEdge,339.92,196.29,14.4,20,48,1
PROD-00071,SpaceSmart Cookware Ultra 71,Home & Kitchen,Cookware,KitchenPro,403.84,122.71,22.3,13,94,1
PROD-00072,HomeNest Cookware Basic 72,Home & Kitchen,Cookware,HomeNest,631.55,191.76,21.1,3,18,1
PROD-00073,CleanEdge Cookware Lite 73,Home & Kitchen,Cookware,CleanEdge,687.3,314.36,10.4,19,14,1
PROD-00074,CozyLiving Cookware Pro 74,Home & Kitchen,Cookware,CozyLiving,522.27,260.33,9.3,18,69,1
