order_id,order_date,customer_id,store_id,promotion_id,channel,payment_method,order_status,subtotal,tax_amount,shipping_amount,total_amount,total_cost
ORD-000001,2023-05-04,CUST-02353,,PROMO-014,Marketplace,Gift Card,Shipped,4663.56,349.77,9.36,5022.69,1651.94
ORD-000002,2024-06-18,CUST-01306,STORE-003,PROMO-010,In-Store,Cash,Completed,135.68,10.18,0.0,145.86,43.38
ORD-000003,2024-07-08,CUST-02505,STORE-013,PROMO-014,Phone,Apple Pay,Returned,935.1,70.13,15.91,1021.14,413.36
ORD-000004,2023-10-11,CUST-01511,,PROMO-014,Website,Cash,Completed,316.96,23.77,0.24,340.97,159.9
ORD-000005,2023-12-11,CUST-02604,,PROMO-014,Phone,Apple Pay,Completed,48.44,3.63,9.05,61.12,22.4
ORD-000006,2023-01-10,CUST-01972,,PROMO-014,Mobile App,PayPal,Completed,378.81,28.41,11.31,418.53,144.96
ORD-000007,2024-08-27,CUST-02454,STORE-011,PROMO-014,In-Store,Gift Card,Completed,807.42,60.56,0.0,867.98,293.05
ORD-000008,2024-02-24,CUST-00811,,PROMO-014,Mobile App,PayPal,Processing,1234.83,92.61,5.49,1332.93,637.66
ORD-000009,2024-02-25,CUST-02150,STORE-002,PROMO-014,In-Store,Gift Card,Completed,1482.7,111.2,0.0,1593.9,858.14
ORD-000010,2023-07-15,CUST-01348,,PROMO-014,Phone,Apple Pay,Completed,83.3,6.25,7.43,96.98,49.16
ORD-000011,2023-08-05,CUST-01575,STORE-010,PROMO-014,In-Store,Gift Card,Shipped,1461.63,109.62,0.0,1571.25,704.68
ORD-000012,2024-05-03,CUST-00910,,PROMO-014,Marketplace,Cash,Completed,2917.84,218.84,2.47,3139.15,1406.72
ORD-000013,2023-05-04,CUST-00106,,PROMO-014,Marketplace,Apple Pay,Cancelled,437.67,32.83,15.72,486.22,254.4
ORD-000014,2024-10-07,CUST-01341,STORE-013,PROMO-014,In-Store,Credit Card,Completed,2799.64,209.97,0.0,3009.61,1284.51
ORD-000015,2024-10-22,CUST-00209,,PROMO-014,Mobile App,PayPal,Completed,1260.1,94.51,13.1,1367.71,519.9
ORD-000016,2023-11-03,CUST-00666,,PROMO-014,Phone,Credit Card,Processing,5111.47,383.36,2.58,5497.41,2474.49
ORD-000017,2024-02-01,CUST-02756,STORE-011,PROMO-014,In-Store,Gift Card,Cancelled,1682.9,126.22,0.0,1809.12,875.9
ORD-000018,2024-08-29,CUST-01024,,PROMO-014,Mobile App,Gift Card,Shipped,1064.53,79.84,3.59,1147.96,490.94
ORD-000019,2023-09-03,CUST-02282,,PROMO-014,Marketplace,Gift Card,Cancelled,416.76,31.26,2.12,450.14,214.41
ORD-000020,2023-04-06,CUST-01757,,PROMO-014,Phone,PayPal,Completed,383.46,28.76,7.81,420.03,154.58
ORD-000021,2024-10-17,CUST-02400,,PROMO-014,Phone,Gift Card,Cancelled,1783.68,133.78,3.21,1920.67,661.65
ORD-000022,2024-04-15,CUST-01930,STORE-001,PROMO-014,In-Store,Credit Card,Completed,283.2,21.24,0.0,304.44,107.4
ORD-000023,2023-08-18,CUST-02883,,PROMO-014,Marketplace,Cash,Returned,1183.44,88.76,12.61,1284.81,480.95
ORD-000024,2023-11-17,CUST-01547,STORE-006,PROMO-014,Phone,Debit Card,Completed,392.19,29.41,4.29,425.89,207.63
ORD-000025,2023-10-26,CUST-00634,,PROMO-014,Marketplace,Apple Pay,Completed,612.81,45.96,1.71,660.48,291.74
ORD-000026,2024-07-20,CUST-00148,,PROMO-014,Website,Debit Card,Shipped,136.68,10.25,2.17,149.1,69.92
ORD-000027,2023-07-15,CUST-00350,,PROMO-014,Phone,Credit Card,Completed,1506.18,112.96,1.81,1620.95,628.28
ORD-000028,2023-06-03,CUST-02037,STORE-005,PROMO-014,Phone,PayPal,Returned,143.06,10.73,14.76,168.55,54.18
ORD-000029,2024-10-08,CUST-02134,STORE-005,PROMO-014,Website,PayPal,Completed,4654.19,349.06,13.89,5017.14,2350.8
ORD-000030,2024-12-05,CUST-01774,STORE-001,PROMO-014,Marketplace,Debit Card,Processing,965.08,72.38,9.93,1047.39,408.87
