order_item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total,line_cost
1,ORD-000001,PROD-00229,2,315.69,0.0,631.38,236.74
2,ORD-000001,PROD-00166,1,127.23,0.0,127.23,62.94
3,ORD-000001,PROD-00155,2,190.74,0.0,381.48,193.42
4,ORD-000001,PROD-00068,2,1370.52,0.0,2741.04,863.88
5,ORD-000001,PROD-00115,3,260.81,0.0,782.43,294.96
6,ORD-000002,PROD-00201,1,135.68,0.0,135.68,43.38
7,ORD-000003,PROD-00139,1,220.29,0.0,220.29,96.62
8,ORD-000003,PROD-00220,3,238.27,0.0,714.81,316.74
9,ORD-000004,PROD-00163,1,186.23,0.0,186.23,90.69
10,ORD-000004,PROD-00053,1,130.73,0.0,130.73,69.21
11,ORD-000005,PROD-00258,1,48.44,0.0,48.44,22.4
12,ORD-000006,PROD-00183,3,126.27,0.0,378.81,144.96
13,ORD-000007,PROD-00039,2,214.91,0.0,429.82,146.14
14,ORD-000007,PROD-00278,1,86.22,0.0,86.22,42.03
15,ORD-000007,PROD-00218,1,291.38,0.0,291.38,104.88
16,ORD-000008,PROD-00019,1,1234.83,0.0,1234.83,637.66
17,ORD-000009,PROD-00042,1,1482.7,0.0,1482.7,858.14
18,ORD-000010,PROD-00244,2,41.65,0.0,83.3,49.16
19,ORD-000011,PROD-00009,1,954.26,0.0,954.26,490.56
20,ORD-000011,PROD-00144,3,159.18,0.0,477.54,204.81
21,ORD-000011,PROD-00252,1,29.83,0.0,29.83,9.31
22,ORD-000012,PROD-00008,4,555.79,0.0,2223.16,1071.64
23,ORD-000012,PROD-00259,5,96.92,0.0,484.6,241.6
24,ORD-000012,PROD-00145,1,210.08,0.0,210.08,93.48
25,ORD-000013,PROD-00148,3,145.89,0.0,437.67,254.4
26,ORD-000014,PROD-00142,3,191.73,0.0,575.19,231.87
27,ORD-000014,PROD-00235,1,524.61,0.0,524.61,158.3
28,ORD-000014,PROD-00254,1,25.85,0.0,25.85,14.41
29,ORD-000014,PROD-00095,2,588.25,0.0,1176.5,615.18
30,ORD-000014,PROD-00126,3,165.83,0.0,497.49,264.75
31,ORD-000015,PROD-00081,1,248.92,0.0,248.92,98.5
32,ORD-000015,PROD-00174,2,56.74,0.0,113.48,45.04
33,ORD-000015,PROD-00054,1,897.7,0.0,897.7,376.36
34,ORD-000016,PROD-00050,2,1291.19,0.0,2582.38,1347.0
35,ORD-000016,PROD-00185,1,296.8,0.0,296.8,95.51
36,ORD-000016,PROD-00035,2,394.84,0.0,789.68,448.32
37,ORD-000016,PROD-00010,1,1141.41,0.0,1141.41,414.62
38,ORD-000016,PROD-00143,2,150.6,0.0,301.2,169.04
39,ORD-000017,PROD-00198,4,98.35,0.0,393.4,215.16
40,ORD-000017,PROD-00065,1,637.07,0.0,637.07,347.9
41,ORD-000017,PROD-00174,2,56.74,0.0,113.48,45.04
42,ORD-000017,PROD-00035,1,394.84,0.0,394.84,224.16
43,ORD-000017,PROD-00160,1,144.11,0.0,144.11,43.64
44,ORD-000018,PROD-00062,1,461.37,0.0,461.37,204.9
45,ORD-000018,PROD-00260,2,76.29,0.0,152.58,50.64
46,ORD-000018,PROD-00208,1,450.58,0.0,450.58,235.4
47,ORD-000019,PROD-00184,1,263.35,0.0,263.35,152.28
48,ORD-000019,PROD-00264,1,30.62,0.0,30.62,10.16
49,ORD-000019,PROD-00230,2,36.8,0.0,73.6,29.16
50,ORD-000019,PROD-00114,1,49.19,0.0,49.19,22.81
51,ORD-000020,PROD-00142,2,191.73,0.0,383.46,154.58
52,ORD-000021,PROD-00277,2,21.76,0.0,43.52,18.06
53,ORD-000021,PROD-00094,3,503.58,0.0,1510.74,522.84
54,ORD-000021,PROD-00164,1,229.42,0.0,229.42,120.75
55,ORD-000022,PROD-00181,1,283.2,0.0,283.2,107.4
56,ORD-000023,PROD-00247,1,16.31,0.0,16.31,7.92
57,ORD-000023,PROD-00014,1,748.19,0.0,748.19,321.23
58,ORD-000023,PROD-00118,1,196.53,0.0,196.53,79.47
59,ORD-000023,PROD-00169,1,222.41,0.0,222.41,72.33
60,ORD-000024,PROD-00053,3,130.73,0.0,392.19,207.63
61,ORD-000025,PROD-00117,1,235.25,0.0,235.25,139.4
62,ORD-000025,PROD-00223,2,188.78,0.0,377.56,152.34
63,ORD-000026,PROD-00213,1,136.68,0.0,136.68,69.92
64,ORD-000027,PROD-00099,2,667.53,0.0,1335.06,573.32
65,ORD-000027,PROD-00284,2,85.56,0.0,171.12,54.96
66,ORD-000028,PROD-00263,2,71.53,0.0,143.06,54.18
67,ORD-000029,PROD-00238,1,20.18,0.0,20.18,7.77
68,ORD-000029,PROD-00243,3,97.56,0.0,292.68,162.36
69,ORD-000029,PROD-00052,5,828.96,0.0,4144.8,2101.2
70,ORD-000029,PROD-00118,1,196.53,0.0,196.53,79.47
71,ORD-000030,PROD-00191,1,66.08,0.0,66.08,26.6
72,ORD-000030,PROD-00071,1,403.84,0.0,403.84,122.71
73,ORD-000030,PROD-00212,1,495.16,0.0,495.16,259.56
74,ORD-000031,PROD-00227,3,430.55,0.0,1291.65,525.18
75,ORD-000032,PROD-00192,1,126.91,0.0,126.91,65.21
76,ORD-000032,PROD-00208,1,450.58,0.0,450.58,235.4
77,ORD-000033,PROD-00219,1,147.31,0.0,147.31,45.12
78,ORD-000033,PROD-00251,3,18.32,0.0,54.96,20.58
79,ORD-000033,PROD-00129,1,23.75,0.0,23.75,13.16
80,ORD-000034,PROD-00198,3,98.35,0.0,295.05,161.37
81,ORD-000034,PROD-00246,1,131.74,0.0,131.74,78.06
82,ORD-000034,PROD-00109,1,247.84,0.0,247.84,111.26
83,ORD-000034,PROD-00251,1,18.32,0.0,18.32,6.86
84,ORD-000035,PROD-00092,1,68.57,0.0,68.57,34.37
85,ORD-000035,PROD-00010,1,1141.41,0.0,1141.41,414.62
86,ORD-000036,PROD-00236,1,14.02,0.0,14.02,4.5
87,ORD-000036,PROD-00070,1,339.92,0.0,339.92,196.29
88,ORD-000036,PROD-00026,1,1347.03,0.0,1347.03,699.4
89,ORD-000037,PROD-00162,1,176.48,0.0,176.48,91.03
90,ORD-000038,PROD-00175,1,174.34,0.0,174.34,85.76
91,ORD-000039,PROD-00199,1,189.01,0.0,189.01,98.41
92,ORD-000039,PROD-00067,3,1381.01,0.0,4143.03,2242.08
93,ORD-000040,PROD-00190,3,146.54,0.0,439.62,186.66
94,ORD-000040,PROD-00004,2,45.77,0.0,91.54,31.16
95,ORD-000041,PROD-00096,1,404.26,0.0,404.26,134.58
96,ORD-000041,PROD-00263,1,71.53,0.0,71.53,27.09
97,ORD-000042,PROD-00210,1,277.62,0.0,277.62,121.68
98,ORD-000042,PROD-00047,1,812.62,0.0,812.62,355.95
99,ORD-000042,PROD-00058,1,640.17,0.0,640.17,329.58
100,ORD-000043,PROD-00095,3,588.25,0.0,1764.75,922.77
101,ORD-000044,PROD-00278,3,86.22,0.0,258.66,126.09
102,ORD-000045,PROD-00165,2,147.82,0.0,295.64,131.78
103,ORD-000046,PROD-00225,1,167.92,0.0,167.92,63.68
104,ORD-000046,PROD-00203,1,575.07,0.0,575.07,214.65
105,ORD-000047,PROD-00014,4,748.19,0.0,2992.76,1284.92
106,ORD-000047,PROD-00179,1,172.49,0.0,172.49,84.41
107,ORD-000047,PROD-00125,1,432.47,0.0,432.47,131.03
108,ORD-000048,PROD-00126,1,165.83,0.0,165.83,88.25
109,ORD-000048,PROD-00058,2,640.17,0.0,1280.34,659.16
110,ORD-000049,PROD-00118,2,196.53,0.0,393.06,158.94
111,ORD-000049,PROD-00079,5,286.68,0.0,1433.4,713.45
112,ORD-000050,PROD-00036,3,224.93,0.0,674.79,378.99
113,ORD-000051,PROD-00060,1,1270.79,0.0,1270.79,599.67
114,ORD-000051,PROD-00217,2,359.18,0.0,718.36,371.82
115,ORD-000051,PROD-00167,1,193.35,0.0,193.35,86.93
116,ORD-000052,PROD-00059,2,175.01,0.0,350.02,171.62
117,ORD-000053,PROD-00133,2,160.71,0.0,321.42,172.16
118,ORD-000053,PROD-00267,1,12.62,0.0,12.62,4.98
119,ORD-000054,PROD-00278,3,86.22,0.0,258.66,126.09
120,ORD-000054,PROD-00191,1,66.08,0.0,66.08,26.6
121,ORD-000055,PROD-00141,3,23.63,0.0,70.89,34.38
122,ORD-000056,PROD-00117,2,235.25,0.0,470.5,278.8
123,ORD-000056,PROD-00142,2,191.73,0.0,383.46,154.58
124,ORD-000056,PROD-00153,3,85.23,0.0,255.69,94.23
125,ORD-000057,PROD-00293,1,30.69,0.0,30.69,11.08
126,ORD-000057,PROD-00087,2,430.15,0.0,860.3,342.0
127,ORD-000057,PROD-00188,1,488.08,0.0,488.08,282.78
128,ORD-000057,PROD-00100,1,91.93,0.0,91.93,48.08
129,ORD-000058,PROD-00048,1,794.03,0.0,794.03,305.33
130,ORD-000059,PROD-00106,1,633.28,0.0,633.28,281.01
131,ORD-000059,PROD-00096,3,404.26,0.0,1212.78,403.74
132,ORD-000060,PROD-00045,4,967.26,0.0,3869.04,1283.76
133,ORD-000060,PROD-00157,1,99.19,0.0,99.19,41.62
134,ORD-000061,PROD-00219,1,147.31,0.0,147.31,45.12
135,ORD-000061,PROD-00275,5,149.85,0.0,749.25,294.75
136,ORD-000062,PROD-00073,2,687.3,0.0,1374.6,628.72
137,ORD-000062,PROD-00009,2,954.26,0.0,1908.52,981.12
138,ORD-000062,PROD-00074,1,522.27,0.0,522.27,260.33
139,ORD-000063,PROD-00106,2,633.28,0.0,1266.56,562.02
140,ORD-000063,PROD-00146,1,229.56,0.0,229.56,103.05
141,ORD-000063,PROD-00121,1,280.96,0.0,280.96,160.04
142,ORD-000063,PROD-00072,2,631.55,0.0,1263.1,383.52
143,ORD-000063,PROD-00285,5,116.32,0.0,581.6,278.0
144,ORD-000064,PROD-00262,3,54.26,0.0,162.78,90.69
145,ORD-000064,PROD-00149,3,138.93,0.0,416.79,178.59
146,ORD-000065,PROD-00218,2,291.38,0.0,582.76,209.76
147,ORD-000066,PROD-00188,1,488.08,0.0,488.08,282.78
148,ORD-000066,PROD-00092,2,68.57,0.0,137.14,68.74
149,ORD-000067,PROD-00294,2,11.06,0.0,22.12,8.68
150,ORD-000068,PROD-00229,1,315.69,0.0,315.69,118.37
151,ORD-000068,PROD-00150,4,52.48,0.0,209.92,118.4
152,ORD-000068,PROD-00158,1,212.62,0.0,212.62,117.97
153,ORD-000068,PROD-00288,1,127.9,0.0,127.9,71.29
154,ORD-000069,PROD-00234,2,238.92,0.0,477.84,189.28
155,ORD-000069,PROD-00099,1,667.53,0.0,667.53,286.66
156,ORD-000069,PROD-00274,1,7.84,0.0,7.84,4.08
157,ORD-000069,PROD-00008,1,555.79,0.0,555.79,267.91
158,ORD-000070,PROD-00112,1,339.38,0.0,339.38,196.45
159,ORD-000070,PROD-00281,2,53.12,0.0,106.24,41.34
160,ORD-000071,PROD-00072,3,631.55,0.0,1894.65,575.28
161,ORD-000071,PROD-00214,1,272.45,0.0,272.45,136.15
162,ORD-000072,PROD-00009,3,954.26,0.0,2862.78,1471.68
163,ORD-000073,PROD-00164,1,229.42,0.0,229.42,120.75
164,ORD-000074,PROD-00112,3,339.38,0.0,1018.14,589.35
